0,1,2,3,4,5,6
@realDonaldTrump,1.26163E+18,Twitter for iPhone,5/16/2020 11:56,37079,92748,"The Radical Left is in total command &amp; control of Facebook, Instagram, Twitter and Google. The Administration is wo… https://t.co/gJV6jbvGUd"
@realDonaldTrump,1.26161E+18,Twitter for iPhone,5/16/2020 10:42,3800,0,RT @pdkwalk: @brithume And Brit the media who are going to hate reading this will continue to go to the same exact people that fed them the…
@realDonaldTrump,1.26161E+18,Twitter for iPhone,5/16/2020 10:41,4581,0,"RT @teety1970: @brithume I always believed @DevinNunes...then along comes lying @RepAdamSchiff who lied to Congress, @cnn @CNNPolitics @MSN…"
@realDonaldTrump,1.26161E+18,Twitter for iPhone,5/16/2020 10:41,5216,0,RT @cheryleliz: @brithume As Victor Davis Hanson remarked... there are a small number of people in Washington that don’t care what others s…
@realDonaldTrump,1.26161E+18,Twitter for iPhone,5/16/2020 10:40,4090,0,RT @dubvee55: @brithume @BrentBozell @DevinNunes is an unsung American hero and patriot. Thank you sir!
@realDonaldTrump,1.26161E+18,Twitter for iPhone,5/16/2020 10:40,3984,0,RT @jasoninthehouse: A reminder of who Van Grack is in this fiasco .... https://t.co/J4yxviLVhH
@realDonaldTrump,1.26161E+18,Twitter for iPhone,5/16/2020 10:39,5659,0,RT @jasoninthehouse: Great interview.  I wonder who did an unmasking the morning of the inauguration?
@realDonaldTrump,1.26161E+18,Twitter for iPhone,5/16/2020 10:39,17878,0,RT @newtgingrich: How do you explain a House Democratic Party so crazy that their new $3 trillion proposal has 68 references to Cannabis an…
@realDonaldTrump,1.26161E+18,Twitter for iPhone,5/16/2020 10:37,13381,47180,So true! https://t.co/3QS54LCaYR
@realDonaldTrump,1.26161E+18,Twitter for iPhone,5/16/2020 10:36,5667,0,"RT @Heritage: Who do ballot harvesters most commonly target and steal votes from?

The poor and elderly. 

A vote-by-mail election would ma…"
@realDonaldTrump,1.26161E+18,Twitter for iPhone,5/16/2020 10:32,3700,0,"RT @SaraCarterDC: Pres. Trump Introduces Leaders Of ""Operation Warp Speed"" Vaccine Development Project - Sara A. Carter https://t.co/WW5ndZ…"
@realDonaldTrump,1.26161E+18,Twitter for iPhone,5/16/2020 10:31,7380,33644,Happy Birthday Tom! https://t.co/9hELhRow4G
@realDonaldTrump,1.26161E+18,Twitter for iPhone,5/16/2020 10:30,2889,0,RT @CPAC: CPAC Live: A Conversation with Matt Schlapp and special guests Sara Carter and Shelley Luther https://t.co/wJIzV0I0Fy
@realDonaldTrump,1.2616E+18,Twitter for iPhone,5/16/2020 10:26,4116,0,"RT @CPAC: .@SaraCarterDC tells @mschlapp: ""The Obama administration weaponized our intelligence institutions against an American citizen...…"
@realDonaldTrump,1.2616E+18,Twitter for iPhone,5/16/2020 10:23,3045,0,"RT @SaraCarterDC: Pres. Trump Introduces Leaders Of ""Operation Warp Speed"" Vaccine Development Project https://t.co/GygwxQpI4n via @SaraCar…"
@realDonaldTrump,1.2616E+18,Twitter for iPhone,5/16/2020 10:22,36934,0,"RT @realDonaldTrump: Thank you to @foxandfriends for covering, supremely, the greatest political scandal in the history of the United State…"
@realDonaldTrump,1.2616E+18,Twitter for iPhone,5/16/2020 10:21,13803,0,"RT @Jim_Jordan: House Democrats would rather give tax dollars to illegal immigrants than American steelworkers. 

Shameful. https://t.co/A3…"
@realDonaldTrump,1.26151E+18,Twitter for iPhone,5/16/2020 4:31,6589,0,"RT @GOPChairwoman: ""China and who can best rebuild our economy will be the dominant issues on Election Day and that’s bad news for Joe Bide…"
@realDonaldTrump,1.26151E+18,Twitter for iPhone,5/16/2020 4:30,28969,146425,Hello to India! https://t.co/iiR20ZLKrE
@realDonaldTrump,1.26151E+18,Twitter for iPhone,5/16/2020 4:23,31497,134191,I’ll do it again! https://t.co/ND3yBfM1lJ
@realDonaldTrump,1.26151E+18,Twitter for iPhone,5/16/2020 4:20,12415,56846,My Hero. New York’s Finest! https://t.co/KOhZ6BHhxc
@realDonaldTrump,1.26151E+18,Twitter for iPhone,5/16/2020 4:18,10880,0,RT @DonaldJTrumpJr: Joe #BeijingBiden has spent the last half century in politics putting China first! Only @realDonaldTrump will always pu…
@realDonaldTrump,1.26151E+18,Twitter for iPhone,5/16/2020 4:17,6421,0,"RT @Mike_Pence: Proud to welcome General Jay Raymond, Chief of Space Operations, United States Space Force, to my Ceremonial Office after t…"
@realDonaldTrump,1.26151E+18,Twitter for iPhone,5/16/2020 4:12,38842,0,"RT @KevinVesey: The level of anger directed at the media from these protestors was alarming. As always, I will tell a fair and unbiased sto…"
@realDonaldTrump,1.2615E+18,Twitter for iPhone,5/16/2020 3:35,9774,0,RT @paulsperry_: Obama officials were spying on incoming National Security Adviser Flynn's foreign calls weeks before his controversial pho…
@realDonaldTrump,1.2615E+18,Twitter for iPhone,5/16/2020 3:34,16677,52563,"Another Fake Whistleblower. Republicans must do something about these terrible people, and now! https://t.co/OVgB5jkzDO"
@realDonaldTrump,1.26147E+18,Twitter for iPhone,5/16/2020 1:34,31350,114169,"“FAKE NEWS IS NOT ESSENTIAL!”
https://t.co/5286zgRVWQ"
@realDonaldTrump,1.26144E+18,Twitter for iPhone,5/15/2020 23:32,13889,0,"RT @PressSec: FACT CHECK: President @realDonaldTrump DID NOT dismantle the pandemic response office.

The NSC’s Counter-proliferation and B…"
@realDonaldTrump,1.26144E+18,Twitter for iPhone,5/15/2020 23:31,11516,0,"RT @IvankaTrump: Two years ago today @realDonaldTrump kept his promise and opened the U.S. Embassy in Jerusalem. 

I was honored to be in I…"
@realDonaldTrump,1.26144E+18,Twitter for iPhone,5/15/2020 23:23,20295,0,RT @realDonaldTrump: Today I was presented with the brand new @SpaceForceDoD flag in the Oval Office. I will take Great Pride in displaying…
@realDonaldTrump,1.26142E+18,Twitter for iPhone,5/15/2020 22:20,12651,0,RT @realDonaldTrump: https://t.co/v4XFSs5NBg
@realDonaldTrump,1.26142E+18,Twitter for iPhone,5/15/2020 22:07,10961,43838,https://t.co/cxDQMyaQD8
@realDonaldTrump,1.26141E+18,Twitter for iPhone,5/15/2020 21:42,12519,0,"RT @TeamTrump: President @realDonaldTrump to NYPD officer who recovered from #Coronavirus: “You’re my hero."" https://t.co/3bRiDuUfN6"
@realDonaldTrump,1.26137E+18,Twitter for iPhone,5/15/2020 19:10,39259,161858,Such a wonderful reception yesterday in Pennsylvania. Thank you! #MAGA https://t.co/lNQMxRqDiA
@realDonaldTrump,1.26137E+18,Twitter for iPhone,5/15/2020 18:50,78543,371587,I am proud to announce that the United States will donate ventilators to our friends in India. We stand with India… https://t.co/2VbAR4CwRf
@realDonaldTrump,1.26136E+18,Twitter for iPhone,5/15/2020 18:28,20295,78773,Today I was presented with the brand new @SpaceForceDoD flag in the Oval Office. I will take Great Pride in display… https://t.co/TLyJHN76fc
@realDonaldTrump,1.26136E+18,Twitter for iPhone,5/15/2020 18:27,5841,0,"RT @WhiteHouse: Recent data ""made me feel even more confident"" that a vaccine will be available by the end of 2020, Dr. Moncef Slaoui says.…"
@realDonaldTrump,1.26136E+18,Twitter for iPhone,5/15/2020 18:26,7163,0,"RT @WhiteHouse: Operation Warp Speed is ""a massive scientific, industrial, and logistical endeavor unlike anything our country has seen sin…"
@realDonaldTrump,1.26134E+18,Twitter for iPhone,5/15/2020 16:41,6909,0,RT @WhiteHouse: LIVE: POTUS Delivers Remarks on Vaccine Development https://t.co/ktpk4urgB1
@realDonaldTrump,1.2613E+18,Twitter for iPhone,5/15/2020 14:35,13341,56548,Chicago’s @CTA has big federal resources heading its way to keep the transit system operational and to keep people… https://t.co/vy7UQnWmOG
@realDonaldTrump,1.2613E+18,Twitter for iPhone,5/15/2020 14:29,12578,55891,I am proud to announce that @NJTransit will receive $1.4B in CARES Act funding to assist in their continued operati… https://t.co/R2ITK5Uhrq
@realDonaldTrump,1.26127E+18,Twitter for iPhone,5/15/2020 12:19,21919,87791,"....Likewise, the @nytimes and @washingtonpost are a disgrace to journalism. They are all Fake News, and they know… https://t.co/W7F1gBgdVX"
@realDonaldTrump,1.26127E+18,Twitter for iPhone,5/15/2020 12:19,36934,137408,"Thank you to @foxandfriends for covering, supremely, the greatest political scandal in the history of the United St… https://t.co/Wq68KkiSrN"
@realDonaldTrump,1.26127E+18,Twitter for iPhone,5/15/2020 12:06,15258,0,RT @realDonaldTrump: https://t.co/AMtNByOrL5
@realDonaldTrump,1.26127E+18,Twitter for iPhone,5/15/2020 12:05,23601,0,RT @Jim_Jordan: Who told President Obama?
@realDonaldTrump,1.26114E+18,Twitter for iPhone,5/15/2020 3:52,16326,60857,It’s about time! https://t.co/xLPbfit1mM
@realDonaldTrump,1.26114E+18,Twitter for iPhone,5/15/2020 3:51,10022,0,RT @GreggJarrett: Biden Campaign Responds to NSA ‘Unmasking’ List by Personally Attacking Journalist https://t.co/89iuL1PV2h
@realDonaldTrump,1.26114E+18,Twitter for iPhone,5/15/2020 3:51,15050,56338,GREAT! https://t.co/NKasqCcngk
@realDonaldTrump,1.26114E+18,Twitter for iPhone,5/15/2020 3:37,49042,172996,Where is the 302? It is missing. Was it stolen or destroyed? General Flynn is being persecuted! #OBAMAGATE
@realDonaldTrump,1.26113E+18,Twitter for iPhone,5/15/2020 2:47,65106,282917,"Thank you to all of my great Keyboard Warriors. You are better, and far more brilliant, than anyone on Madison Aven… https://t.co/gma9nEFxoO"
@realDonaldTrump,1.26112E+18,Twitter for iPhone,5/15/2020 2:28,20213,0,"RT @SteveHiltonx: ""Obamagate is not a conspiracy theory""

Obama, Biden, CIA director Brennan, intelligence chief Clapper, attorney general…"
@realDonaldTrump,1.26112E+18,Twitter for iPhone,5/15/2020 2:18,8150,0,RT @GrahamLedger: This is a ray of sunshine on a cloudy year.... #ca25
@realDonaldTrump,1.26112E+18,Twitter for iPhone,5/15/2020 2:18,8071,0,RT @GrahamLedger: https://t.co/AHdelM6E6b
@realDonaldTrump,1.26112E+18,Twitter for iPhone,5/15/2020 2:17,10423,0,"RT @thehill: Sen. Rand Paul: ""Biden accessed the identity and the private conversation of a political opponent. There is no more clear viol…"
@realDonaldTrump,1.26112E+18,Twitter for iPhone,5/15/2020 2:17,6111,0,RT @thehill: Democrats lose House seat in California special election https://t.co/IpjEnE54s9 https://t.co/YSA0yj9FDg
@realDonaldTrump,1.26112E+18,Twitter for iPhone,5/15/2020 2:15,12902,58631,Thank you. My great honor! https://t.co/lhV5VjJEoT
@realDonaldTrump,1.26112E+18,Twitter for iPhone,5/15/2020 2:14,23839,0,"RT @DC_Draino: Uh oh, wouldn’t want the Commies in blue states to see us Floridians all out at bars having a good time with no face masks…"
@realDonaldTrump,1.26112E+18,Twitter for iPhone,5/15/2020 2:13,35176,139563,Thanks. You are very cool! https://t.co/K789oTR0uM
@realDonaldTrump,1.26112E+18,Twitter for iPhone,5/15/2020 2:11,15089,0,RT @SaraCarterDC: #BREAKING Jordan Requests Pompeo Turn Over Explosive Docs Exposing Alleged 'Whistleblower' And Hunter Biden https://t.co/…
@realDonaldTrump,1.26112E+18,Twitter for iPhone,5/15/2020 2:09,9766,0,RT @paulsperry_: BREAKING: Top Clinton Campaign Officials Podesta and Sullivan Secretly Joined Forces With Fusion GPS After The Election --…
@realDonaldTrump,1.26112E+18,Twitter for iPhone,5/15/2020 2:09,8107,0,RT @paulsperry_: BREAKING: The narrative that Moscow deployed Russian bots to spread Internet disinformation in support of vulnerable GOP c…
@realDonaldTrump,1.26112E+18,Twitter for iPhone,5/15/2020 2:09,15003,0,"RT @paulsperry_: This is on Dr. Fauci's own NIH website:

Breakthrough: Chloroquine phosphate has shown apparent efficacy in treatment of C…"
@realDonaldTrump,1.26112E+18,Twitter for iPhone,5/15/2020 2:08,7760,0,RT @DailyCaller: We got no response from the @JoeBiden campaign today when we asked them for an explanation of the then Vice President’s re…
@realDonaldTrump,1.26112E+18,Twitter for iPhone,5/15/2020 2:04,13032,0,RT @AriFleischer: Clapper gets asked a hard question and what’s he do?  He goes AWOL...
@realDonaldTrump,1.26111E+18,Twitter for iPhone,5/15/2020 2:03,4242,0,RT @KarlRove: Coronavirus Response &amp; Ventilators: Trump Administration Handled Potential Shortage Deftly | National Review https://t.co/K3x…
@realDonaldTrump,1.26111E+18,Twitter for iPhone,5/15/2020 1:55,7054,0,RT @DanHenninger: The Flynn case shows how Washington elites lost faith in the American system they administer and debased its institutions…
@realDonaldTrump,1.2611E+18,Twitter for iPhone,5/15/2020 1:15,16712,0,RT @realDonaldTrump: Intel chief releases info on ‘unmasking’ of Flynn to Capitol Hill https://t.co/21wRsUboOf via @politico
@realDonaldTrump,1.26108E+18,Twitter for iPhone,5/14/2020 23:41,12517,47159,"Great work @Owens_Minor! On behalf of the American People, THANK YOU! https://t.co/NEulBS70bz https://t.co/PmB81mn8JL"
@realDonaldTrump,1.26105E+18,Twitter for iPhone,5/14/2020 21:58,100085,0,RT @realDonaldTrump: OBAMAGATE!
@realDonaldTrump,1.26105E+18,Twitter for iPhone,5/14/2020 21:58,7530,0,RT @WhiteHouse: American workers are the best in the world! 🇺🇸 https://t.co/kSTTz7PovL
@realDonaldTrump,1.26105E+18,Twitter for iPhone,5/14/2020 21:58,6432,0,"RT @WhiteHouse: ""We thank God for the courage of those on the front lines."" https://t.co/l8yuSzOKxV"
@realDonaldTrump,1.26105E+18,Twitter for iPhone,5/14/2020 21:52,16658,0,"RT @SecretService: Today, we lost an American Hero: Husband, Father, Son, Medal of Honor Recipient - Special Agent Ronald J. Shurer II. Fro…"
@realDonaldTrump,1.26103E+18,Twitter for iPhone,5/14/2020 20:09,8103,0,RT @USAmbIsrael: Today is the 2nd anniversary of the opening of the US Embassy in Jerusalem. Pls enjoy this video which captures some of th…
@realDonaldTrump,1.26099E+18,Twitter for iPhone,5/14/2020 17:37,12738,60030,"Just landed in Pennsylvania, see everyone soon! https://t.co/RUAfkv1cOs"
@realDonaldTrump,1.26099E+18,Twitter for iPhone,5/14/2020 17:29,11301,0,"RT @MikeKellyPA: It’s been said that 90% of life is showing up because when you show up, people know that you care. Thank you @POTUS @realD…"
@realDonaldTrump,1.26099E+18,Twitter for iPhone,5/14/2020 17:29,6494,0,"RT @GReschenthaler: FEMA is sending 83,400 testing swabs and 55,660 media tubes to the Commonwealth of PA. 

Thank you @realdonaldtrump and…"
@realDonaldTrump,1.26098E+18,Twitter for iPhone,5/14/2020 17:26,9026,49332,"On my way, see you soon! https://t.co/Ava0nf3Eqq"
@realDonaldTrump,1.26098E+18,Twitter for iPhone,5/14/2020 17:23,5417,0,"RT @PtRightsAdvoc: Thank you @realDonaldTrump for your BOLD leadership during the #COVID19 crisis, AND for protecting all Americans - patie…"
@realDonaldTrump,1.26098E+18,Twitter for iPhone,5/14/2020 17:11,13473,83572,"On my way to PENNSYLVANIA! 
https://t.co/knZn9xcwix"
@realDonaldTrump,1.26096E+18,Twitter for iPhone,5/14/2020 15:42,12169,0,RT @WhiteHouse: President @realDonaldTrump talks supply chains—and why they should be completely in the United States! https://t.co/5pinhau…
@realDonaldTrump,1.26096E+18,Twitter for iPhone,5/14/2020 15:42,11726,0,"RT @WhiteHouse: President @realDonaldTrump: ""Every other President let China do whatever they wanted."" https://t.co/jEffuEFUlv"
@realDonaldTrump,1.26096E+18,Twitter for iPhone,5/14/2020 15:42,12396,0,RT @WhiteHouse: It's time to bring back the greatest economy in history. https://t.co/eiKXrOYAU7
@realDonaldTrump,1.26096E+18,Twitter for iPhone,5/14/2020 15:41,7792,0,RT @TeamTrump: Democrats want OPEN BORDERS! https://t.co/pWb1XJDN83
@realDonaldTrump,1.26096E+18,Twitter for iPhone,5/14/2020 15:40,15258,54312,https://t.co/AMtNByOrL5
@realDonaldTrump,1.26095E+18,Twitter for iPhone,5/14/2020 15:15,15586,67840,I am proud to announce the first $500M of $3.9B in CARES Act transit funding headed to the NY Metropolitan Transpor… https://t.co/yjAKarlVYf
@realDonaldTrump,1.26094E+18,Twitter for iPhone,5/14/2020 14:21,59900,187675,"If I were a Senator or Congressman, the first person I would call to testify about the biggest political crime and… https://t.co/wikuf2TexS"
@realDonaldTrump,1.26092E+18,Twitter for iPhone,5/14/2020 13:07,29233,154006,Good numbers coming out of States that are opening. America is getting its life back! Vaccine work is looking VERY… https://t.co/NUYt6yTL5g
@realDonaldTrump,1.26091E+18,Twitter for iPhone,5/14/2020 12:44,24390,112907,22-O in my endorsements of Congressional Candidates this season. California &amp; Wisconsin won big on Tuesday. Thank y… https://t.co/7HANO4ia7Y
@realDonaldTrump,1.26091E+18,Twitter for iPhone,5/14/2020 12:37,28396,134557,"I don’t know the so-called Whistleblower Rick Bright, never met him or even heard of him, but to me he is a disgrun… https://t.co/LxZfO1XR1T"
@realDonaldTrump,1.26091E+18,Twitter for iPhone,5/14/2020 12:11,26624,110612,"The Great State of Wisconsin, home to Tom Tiffany’s big Congressional Victory on Tuesday, was just given another wi… https://t.co/L58ULXd4tC"
@realDonaldTrump,1.26074E+18,Twitter for iPhone,5/14/2020 0:57,100085,394158,OBAMAGATE!
@realDonaldTrump,1.26074E+18,Twitter for iPhone,5/14/2020 0:56,18085,82849,Proud of Mike! https://t.co/g1HvItV79N
@realDonaldTrump,1.26074E+18,Twitter for iPhone,5/14/2020 0:55,21595,98162,First time in 22 years. Mike will be a GREAT CONGRESSMAN! https://t.co/rNzwwFkzSZ
@realDonaldTrump,1.26073E+18,Twitter for iPhone,5/14/2020 0:53,16712,54588,Intel chief releases info on ‘unmasking’ of Flynn to Capitol Hill https://t.co/21wRsUboOf via @politico
@realDonaldTrump,1.2606E+18,Twitter for iPhone,5/13/2020 15:40,29608,131680,"THANK YOU, WORKING HARD! #MAGA https://t.co/NytV20gopi"
@realDonaldTrump,1.26058E+18,Twitter for iPhone,5/13/2020 14:33,45632,183842,"As I have said for a long time, dealing with China is a very expensive thing to do. We just made a great Trade Deal… https://t.co/aVzJ0Lr1OS"
@realDonaldTrump,1.26057E+18,Twitter for iPhone,5/13/2020 14:16,46860,193210,"When the so-called “rich guys” speak negatively about the market, you must always remember that some are betting bi… https://t.co/d2GPNzjaAU"
@realDonaldTrump,1.26056E+18,Twitter for iPhone,5/13/2020 13:31,13656,0,"RT @dcexaminer: ""It was the worst journalistic fiasco of now my more than 50 some years in journalism.""

@BritHume called the media's cover…"
